,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
ZUPT,0.9770257716355438,0.038053285213883875,0.0022847100175746923,0.0,0.0,0.0,0.06581930051813471,0.005323868677905945,0.0,0.0033877425315676007,0.0,0.0,0.00047460844803037496,0.0,0.022713168673203426,0.0019171779141104294,0.0030153508771929823,0.0,0.0036494092905300923
ZUPT_walk_60,0.00021919981628967778,0.8711920178325019,0.059402460456942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036986301369863014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZUPT_walk_90,0.00014613321085978518,0.001804479354633266,0.8430579964850615,0.07119314436387607,0.0,0.0,0.0,0.0,0.0,0.0,0.0012937595129375952,0.004119763258674713,0.01301783171740457,0.0,0.010301601092217947,0.0,0.0,0.0,0.0
ZUPT_jogg_120,1.0438086489984656e-05,0.0,0.0,0.7910349373764007,0.07996924259900039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03152756119058919,0.00037226617031177293,0.0021099664887675312,0.0,0.0,0.0,0.0
ZUPT_run_150,0.0,0.0,0.0,0.028345418589321027,0.815840061514802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023052410332903926,0.0025127966496044673,0.0,0.0,0.0,0.0,0.0
ZUPT_sprint_180,0.0,0.0,0.0,0.0,0.007304882737408689,0.854230377166157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011167985109353188,0.007819287576020852,0.0,0.0,0.0,0.0
ZUPT_walk_b_60,0.0,0.0,0.0,0.0,0.0,0.0,0.8147668393782384,0.16548358473824312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007711315610088617,0.0022478070175438597,0.0,0.0
ZUPT_walk_b_90,0.0,0.0,0.0,0.0,0.0,0.0,0.0028335492227979276,0.679902395740905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018319700068166326,0.03399122807017544,0.0,0.0
ZUPT_slide_right,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7856306130417805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03921311475409836,0.0
ZUPT_slide_left,0.0006158471029090948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660301817061903,0.0,0.0,0.0,0.002326663564448581,0.0,0.0,0.0006030701754385965,0.000721311475409836,0.005876167501700996
walk_60,0.0,0.06076849591338499,0.000351493848857645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9288051750380517,0.06539398862713242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
walk_90,0.001179503773368266,0.018628595690478717,0.07302284710017574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010426179604261796,0.9054775443889985,0.026103464641670623,0.0,0.001117041082288693,0.007966939331970006,0.005317982456140351,0.0,0.0
jogg_120,0.002557331190046241,5.307292219509606e-05,0.003251318101933216,0.07624697868600308,0.0,0.0,0.022020725388601035,0.0026619343389529724,0.0,0.0,0.008295281582952816,0.015724730184518976,0.8602617126584853,0.0391810144253141,0.048405113565843365,0.0032805044308111793,0.003289473684210526,0.0,0.0
run_150,0.0038203396553343843,0.006793334040972296,0.00421792618629174,0.030542737859811032,0.09688581314878893,0.0,0.0,0.0,0.0,0.0,0.008066971080669711,0.00400371358941627,0.05166451962844939,0.9002326663564448,0.012287451905175623,0.0072426721199727335,0.005592105263157895,0.0,0.0
sprint_180,0.006544680229220379,0.0005838021441460567,0.014411247803163444,0.0026367831245880024,0.0,0.145769622833843,0.0,0.0,0.0,0.0,0.004033485540334856,0.005222235116629918,0.012814428096820124,0.0542577943229409,0.8856894625791237,0.00029822767552828904,0.00027412280701754384,0.0,0.0
walk_b_60,0.0007097898813189566,0.0,0.0,0.0,0.0,0.0,0.06849093264248704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9553084526244036,0.06244517543859649,0.003278688524590164,0.0
walk_b_90,0.0027974071793158877,0.0,0.0,0.0,0.0,0.0,0.022101683937823833,0.14463176574977818,0.0,0.0,0.0,0.0,0.0018306325852600175,0.0,0.0,0.012355146557600545,0.8824561403508772,0.0,0.0
slide_right,0.002557331190046241,0.0015391147436577858,0.0,0.0,0.0,0.0,0.003966968911917099,0.001996450754214729,0.21436938695821944,0.0,0.0019406392694063927,5.8024834629221305e-05,0.0,0.0,0.0031028918952463696,0.0,0.0007675438596491228,0.955344262295082,0.000556689552792726
slide_left,0.00181622704925733,0.0005838021441460567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13058207576224207,0.00015220700152207003,0.0,0.0,0.0,0.006454015142112449,0.0020875937286980234,0.0,0.001442622950819672,0.9899177336549762
