,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
ZUPT,0.8653072176012879,0.07427290976144904,0.00419005454976678,0.0,0.012012012012012012,0.09514925373134328,0.05252963508173859,0.004831460674157303,0.0,0.0,0.005632582322357019,0.0063112598613435334,0.004088839327200075,0.02043641637550267,0.06281227694503926,0.005578613826036506,0.0033128506545551696,0.002387914230019493,0.0032920726889649724
ZUPT_walk_60,0.0016482042240024532,0.7626161243639419,0.09850581073602656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012564991334488735,0.0029643796318431746,0.0,0.0,0.0,0.0011380372205114474,0.0,0.0,0.0
ZUPT_walk_90,0.0016098738932116983,0.06404929741842118,0.8545339552533797,0.013823437009110902,0.0,0.0,0.0,0.0,0.0,0.0,0.004085169596434761,0.0177384652163519,0.007527181488709228,0.0022414134089260994,0.0009177118384827164,0.005980274021511135,0.0112209457654288,0.0,0.0
ZUPT_jogg_120,0.0,0.0,0.0,0.683631793905121,0.09069069069069069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030387510454418735,0.00547168567473136,0.0,0.0,0.0,0.0,0.0
ZUPT_run_150,0.0,0.0,0.0,0.01916431039899466,0.7405405405405405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026019886627636837,0.032764190124596214,0.0,0.0,0.0,0.0,0.0
ZUPT_sprint_180,0.0,0.0,0.0,0.0,0.004804804804804805,0.6529850746268657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046905271744672175,0.0,0.0,0.0,0.0
ZUPT_walk_b_60,0.017670282494537927,0.0,0.0,0.0,0.0,0.0,0.7017897265049973,0.06101123595505618,0.0,0.0,0.0,4.781257470714798e-05,0.0,0.0,0.001223615784643622,0.01961440621234436,0.00336628372962864,0.0,0.0
ZUPT_walk_b_90,0.0003449729771167925,0.0,0.0,0.0,0.0,0.0,0.013636011466646007,0.5946067415730337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005578613826036507,0.052204114346780656,0.0,0.0
ZUPT_slide_right,0.005826210280194718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8432040272431152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051803118908382066,0.0
ZUPT_slide_left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7709132770529548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015363005881836537
walk_60,0.0016865345547932079,0.06162177302646935,0.01770890979524073,0.0,0.0,0.0,0.0,0.008314606741573034,0.0,0.0,0.7957724684327804,0.06186947167104949,0.0012080661648545673,0.00032961961895972046,0.000611807892321811,0.0053554692729950466,0.006465402083889928,0.0,0.0
walk_90,0.00210816819349151,0.01017692918164418,0.01707644873112499,0.004398366321080742,0.0,0.0,0.0,0.0,0.0,0.0,0.08433399356276305,0.8203203442505379,0.01533314747700028,0.012591469444261323,0.014683389415723462,0.000870263756861695,0.003580016029922522,0.0,0.0007023088403125275
jogg_120,0.03296408448004906,0.0035946034265440458,0.0,0.2598177819666981,0.012612612612612612,0.05690298507462686,0.015495467575734098,0.0,0.0,0.0,0.019806882891804902,0.051541955534305524,0.8571694080475792,0.2121431867624761,0.01539716529009891,0.0039273441335297005,0.0042212129308041675,0.0003898635477582846,0.0
run_150,0.0036413814251216987,0.0036879697493114234,0.0,0.01916431039899466,0.13933933933933934,0.002798507462686567,0.008599984504532424,0.0,0.0,0.0,0.012905422134191631,0.0075543868037293805,0.06560728556825574,0.6889709275496078,0.030692362598144184,0.004262060963091891,0.0,0.0,0.0
sprint_180,0.00421633638698302,0.0,0.0,0.0,0.0,0.1921641791044776,0.01646393429921748,0.0,0.0,0.0,0.0,0.005402820941907722,0.011058451816745656,0.005735381369899137,0.8425614357091873,0.0,0.0,0.0,0.0
walk_b_60,0.008011039135267737,0.006208860464030624,0.005771207210056131,0.0,0.0,0.0,0.14263577903463237,0.011685393258426966,0.0,0.0,0.038159197821242885,0.007745637102557973,0.0013939224979091162,0.00013184784758388818,0.004792495156520853,0.8085642879457312,0.029441624365482234,0.0,0.0
walk_b_90,0.03921192839894208,0.013351384155735026,0.0,0.0,0.0,0.0,0.047028744092352984,0.30235955056179775,0.0,0.0,0.020642485763802922,0.016925651446330386,0.0036241984945637024,0.011866306282549937,0.001223615784643622,0.13455616548400054,0.8744322735773443,0.0,0.0001316829075585989
slide_right,0.008087699796849247,0.0,0.0,0.0,0.0,0.0,0.0018207174401487565,0.017191011235955057,0.1493929523245484,0.007674597083653108,0.0038375835602871998,4.781257470714798e-05,0.0,0.00039554354275166457,0.0017334556949117977,0.008635694202704512,0.01009885118888592,0.9452729044834308,0.04797647265384953
slide_left,0.007666066158150945,0.00042014845245320014,0.002213613724405091,0.0,0.0,0.0,0.0,0.0,0.007403020432336393,0.22141212586339218,0.0022592225798464967,0.0015300023906287354,0.0,0.00692201199815413,0.018660140715815236,0.0009595215780782791,0.0016564253272775848,0.00014619883040935673,0.9325344570274778
